Battery,Robbery,Sex_offense,Narcotics,Aggravated_assault
901,207,17,605,79
1024,170,19,547,85
1001,179,19,588,84
1092,172,18,648,96
1057,198,30,574,94
1102,168,16,557,92
1098,204,21,579,93
1134,167,23,607,108
1063,185,24,522,92
1178,204,27,546,105
1056,226,17,608,96
1206,223,27,605,104
1144,243,13,642,88
1048,184,13,603,100
1101,210,12,598,84
977,224,26,644,93
1061,193,24,643,107
1036,187,20,616,94
1054,199,22,554,83
1076,191,19,534,93
1073,207,25,549,89
898,180,22,561,88
1027,200,20,526,93
973,219,13,585,105
970,233,26,552,97
902,192,18,542,79
890,236,16,548,93
961,206,17,539,99
958,215,25,469,93
893,208,16,583,72
841,183,11,531,58
823,187,14,462,69
816,167,8,388,65
867,202,15,517,65
861,234,6,387,97
841,229,20,439,83
810,215,10,358,53
962,272,27,330,72
618,144,11,398,49
780,184,12,581,66
882,220,11,531,77
815,153,16,550,80
705,122,14,439,63
741,126,13,535,63
694,97,10,458,61
775,112,11,453,59
854,139,15,565,57
989,138,16,538,84
1022,152,21,526,82
867,137,12,516,79
976,155,7,509,88
810,139,17,444,78
1081,148,14,463,68
949,172,12,446,86
1011,156,27,354,101
1123,155,17,385,114
1114,153,14,427,93
1078,157,19,405,98
1128,204,21,389,95
980,176,24,446,79
1060,173,19,416,94
1059,183,22,270,83
1122,178,18,375,107
1043,206,22,407,91
1013,176,12,407,89
992,192,15,380,107
1084,229,27,360,112
1106,221,28,366,103
1087,211,15,425,87
1079,204,24,411,98
1042,219,19,411,117
942,209,14,419,77
995,234,30,447,115
961,188,17,400,92
1015,222,17,395,87
1063,217,14,435,85
855,253,18,460,81
889,216,20,463,75
939,182,18,384,96
973,224,15,418,94
893,214,16,357,90
992,201,23,415,80
789,184,7,403,73
766,193,17,409,76
788,185,10,274,77
820,225,17,366,72
874,219,8,284,88
815,223,13,260,67
844,264,10,183,92
585,100,33,66,128
793,263,22,253,80
811,226,21,235,69
758,217,9,258,68
877,250,7,318,73
855,206,23,292,93
730,150,16,298,75
856,181,17,312,86
940,166,15,348,92
809,150,17,339,93
993,179,17,348,105
979,172,14,315,92
994,177,14,285,107
1021,200,15,328,110
868,159,12,372,80
923,181,15,348,123
1003,166,9,302,98
982,210,18,332,113
991,231,19,272,101
1024,192,12,303,127
1032,222,14,353,116
1123,202,24,304,127
1203,228,25,320,137
1035,199,16,295,111
1167,209,17,281,117
1220,245,17,241,127
1060,217,25,325,114
1173,246,13,271,136
980,254,29,249,121
988,257,18,251,115
1084,258,31,256,110
1082,271,20,184,145
996,268,15,174,103
1075,256,20,157,118
996,299,22,115,125
1028,302,21,159,121
1023,235,27,168,135
993,239,17,147,125
1085,239,18,185,113
933,219,17,133,112
965,273,19,143,96
885,236,21,129,134
1034,275,19,155,137
958,252,15,143,102
1127,298,11,117,147
913,266,12,123,94
847,275,15,139,93
778,253,11,150,92
865,275,13,148,93
748,229,13,130,87
672,214,5,116,78
794,254,5,127,85
